associado_id,Frequency,Monetary,Recency,r_quartile,f_quartile,m_quartile,RFMScore,categoria
66263,7,659.796,16,2,2,1,221,Destaque
8860,7,958.3650000000001,5,1,2,1,121,Destaque
58186,7,336.943,5,1,2,2,122,Destaque
15088,7,677.668,46,3,2,1,321,Distante Fiel Valioso
64290,7,268.75,22,2,2,2,222,Destaque
66417,7,126.19,4,1,2,3,123,Proximo Fiel Limitado
67444,7,186.084,12,2,2,2,222,Destaque
68786,7,128.85,3,1,2,3,123,Proximo Fiel Limitado
71077,7,734.5519999999999,6,1,2,1,121,Destaque
47589,7,278.24,0,1,2,2,122,Destaque
6866,7,4556.1,8,2,2,1,221,Destaque
60455,7,829.5800000000002,13,2,2,1,221,Destaque
64549,7,612.21,19,2,2,1,221,Destaque
36051,7,1422.04,25,3,2,1,321,Distante Fiel Valioso
45045,7,609.85,29,3,2,1,321,Distante Fiel Valioso
41446,7,223.22199999999998,9,2,2,2,222,Destaque
52797,7,922.3800000000001,16,2,2,1,221,Destaque
1855,7,590.953,10,2,2,1,221,Destaque
13971,7,257.75,6,1,2,2,122,Destaque
57116,7,678.5100000000001,20,2,2,1,221,Destaque
82667,7,648.7650000000001,5,1,2,1,121,Destaque
4813,7,674.8209999999999,64,4,2,1,421,Distante Fiel Valioso
7482,7,913.721,53,3,2,1,321,Distante Fiel Valioso
87252,7,428.54,6,1,2,2,122,Destaque
29120,7,447.44,30,3,2,2,322,Distante Fiel Valioso
95133,7,319.87600000000003,4,1,2,2,122,Destaque
65795,7,532.87,17,2,2,1,221,Destaque
44840,7,393.806,2,1,2,2,122,Destaque
66213,7,537.6030000000001,2,1,2,1,121,Destaque
62245,7,162.01,22,2,2,2,222,Destaque
49474,7,609.55,18,2,2,1,221,Destaque
51759,7,386.52000000000004,2,1,2,2,122,Destaque
41168,7,630.77,30,3,2,1,321,Distante Fiel Valioso
28435,7,594.0699999999999,13,2,2,1,221,Destaque
40341,7,685.48,2,1,2,1,121,Destaque
49821,7,259.454,31,3,2,2,322,Distante Fiel Valioso
32759,7,441.679,32,3,2,2,322,Distante Fiel Valioso
39325,7,504.92,3,1,2,1,121,Destaque
83322,7,431.23,0,1,2,2,122,Destaque
41265,7,407.408,9,2,2,2,222,Destaque
26826,7,124.73900000000002,10,2,2,3,223,Proximo Fiel Limitado
2552,7,277.87,20,2,2,2,222,Destaque
62467,7,986.9799999999999,23,2,2,1,221,Destaque
76229,7,162.09,6,1,2,2,122,Destaque
6294,7,295.15999999999997,61,4,2,2,422,Distante Fiel Valioso
3998,7,227.42000000000002,34,3,2,2,322,Distante Fiel Valioso
23821,7,168.2,9,2,2,2,222,Destaque
20247,7,776.82,5,1,2,1,121,Destaque
23382,7,599.4600000000002,6,1,2,1,121,Destaque
55580,7,206.5,8,2,2,2,222,Destaque
53812,7,210.46,29,3,2,2,322,Distante Fiel Valioso
51767,7,663.318,6,1,2,1,121,Destaque
12799,7,314.36,6,1,2,2,122,Destaque
71961,7,424.71399999999994,16,2,2,2,222,Destaque
55814,7,251.51000000000002,29,3,2,2,322,Distante Fiel Valioso
51868,7,95.11999999999999,2,1,2,3,123,Proximo Fiel Limitado
6343,7,559.192,137,4,2,1,421,Distante Fiel Valioso
45841,7,260.58,30,3,2,2,322,Distante Fiel Valioso
81667,7,275.72,8,2,2,2,222,Destaque
55855,7,1610.022,49,3,2,1,321,Distante Fiel Valioso
38215,7,407.4200000000001,47,3,2,2,322,Distante Fiel Valioso
63642,7,106.17800000000001,0,1,2,3,123,Proximo Fiel Limitado
36053,7,437.614,5,1,2,2,122,Destaque
46312,7,395.79,3,1,2,2,122,Destaque
39998,7,724.9499999999999,18,2,2,1,221,Destaque
74497,7,235.82999999999996,15,2,2,2,222,Destaque
49708,7,327.943,12,2,2,2,222,Destaque
28866,7,284.068,16,2,2,2,222,Destaque
47833,7,80.94999999999999,9,2,2,3,223,Proximo Fiel Limitado
30356,7,181.07200000000003,28,3,2,2,322,Distante Fiel Valioso
57093,7,676.0350000000001,4,1,2,1,121,Destaque
35365,7,426.47,30,3,2,2,322,Distante Fiel Valioso
74711,7,944.162,31,3,2,1,321,Distante Fiel Valioso
52867,7,242.86,1,1,2,2,122,Destaque
14976,7,215.68,57,3,2,2,322,Distante Fiel Valioso
14899,7,746.77,59,4,2,1,421,Distante Fiel Valioso
50818,7,350.396,13,2,2,2,222,Destaque
63308,7,117.806,14,2,2,3,223,Proximo Fiel Limitado
39644,7,421.87800000000004,1,1,2,2,122,Destaque
51179,7,549.91,3,1,2,1,121,Destaque
55585,7,696.69,0,1,2,1,121,Destaque
31496,7,382.978,61,4,2,2,422,Distante Fiel Valioso
49645,7,904.1500000000001,8,2,2,1,221,Destaque
61955,7,454.15,10,2,2,2,222,Destaque
51926,7,1459.76,10,2,2,1,221,Destaque
9981,7,225.5,95,4,2,2,422,Distante Fiel Valioso
27724,7,84.49,0,1,2,3,123,Proximo Fiel Limitado
31289,7,299.40999999999997,32,3,2,2,322,Distante Fiel Valioso
67842,7,193.67000000000002,7,2,2,2,222,Destaque
25425,7,251.41000000000003,18,2,2,2,222,Destaque
